#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.15,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  311.0, 117.30, 111.60, 125.675, 121.800,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.15,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  311.0, 117.30, 111.60, 125.675, 121.800,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.15,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  311.0, 117.30, 111.60, 125.675, 121.800,       ,       ,       ,      ,       ,       ,  -11.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.15,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  311.0, 117.30, 111.60, 125.675, 121.800,       ,       ,       ,      ,       ,       ,  -11.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-24, 13:22:42,  -04:00,       ,             ,             ,        , 30.15,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  311.0, 117.30, 111.60, 125.675, 121.800,       ,       ,       ,      ,       ,       ,  -11.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-24, 13:22:43,  -04:00,       ,             ,             ,        , 30.15,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,  311.0, 117.30, 111.60, 125.675, 121.800,       ,       ,       ,      ,       ,       ,  -11.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-24, 13:22:44,  -04:00,       ,             ,             ,        , 30.15,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  311.0, 117.30, 111.60, 125.675, 121.800,       ,       ,       ,      ,       ,       ,  -11.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2018-10-24, 13:22:45,  -04:00,       ,             ,             ,   375.8, 30.15,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  311.0, 117.30, 111.60, 125.675, 121.800,       ,       ,       ,      ,       ,       ,  -11.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-24, 13:22:46,  -04:00,       ,             ,             ,   374.8, 30.15,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  311.0, 117.30, 111.60, 125.675, 121.800,       ,       ,       ,      ,       ,       ,  -11.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-24, 13:22:47,  -04:00,       ,             ,             ,   374.8, 30.15,        ,  19.5,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.0,  23.2, -18.1,       ,       ,     0.00,   84.06,   -1.02,  30.20,    0.0,    0.00,   84.35,   84.80,   83.00,   83.39,   84.30,   84.33,   73.16,   73.19,   71.81,   71.99,   72.92,   70.77,  147.68,   67.16,        ,   0,  GPS,  311.0, 117.30, 111.60, 125.675, 121.800,       ,       ,       ,      ,       ,       ,  -11.5,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
