#airframe_info, log_version="1.01", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-52", unit_software_version="20.10", system_software_part_number="006-B2647-04", system_id="2591155B3", mode=NORMAL, flightstream_header="2591155B3_20000101_000000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.24,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.24,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.24,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.24,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:32:56,  -04:00,       ,             ,             ,        , 30.24,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,    ,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:32:57,  -04:00,       ,             ,             ,   579.4, 30.24,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:32:58,  -04:00,       ,             ,             ,   579.4, 30.24,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 1852,     0,       ,      ,       
2018-10-09, 16:32:58,  -04:00,       ,             ,             ,   578.4, 30.24,        ,  28.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:32:59,  -04:00,       ,             ,             ,   578.4, 30.24,        ,  28.0,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:00,  -04:00,       ,             ,             ,   578.4, 30.24,        ,  28.0,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.5,       ,       ,     0.00,  179.35,   -1.44,  29.86,    0.0,    0.00,  230.34,  227.50,  223.68,  223.95,  211.70,  208.86,  227.15,  239.23,  195.55,  195.57,  178.46,  171.19,  328.47,  303.89,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:01,  -04:00,       ,             ,             ,   577.4, 30.24,        ,  28.0,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.5,  46.00,  46.00,     0.00,  179.38,   -1.43,  29.87,    0.0,    0.00,  230.36,  227.50,  223.68,  223.95,  211.71,  208.84,  226.87,  239.00,  195.48,  195.45,  178.39,  171.10,  327.59,  303.70,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:02,  -04:00,       ,             ,             ,   577.4, 30.24,        ,  28.0,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.6,  46.00,  46.00,     0.00,  179.39,   -1.43,  29.87,    0.0,    0.00,  230.33,  227.47,  223.65,  223.96,  211.69,  208.83,  226.74,  238.94,  195.44,  195.44,  178.37,  171.11,  326.92,  303.59,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:03,  -04:00,       ,             ,             ,   576.4, 30.24,        ,  28.0,   0.00,       ,  -32.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.6,  46.00,  46.00,     0.00,  179.39,   -1.43,  29.86,    0.0,    0.00,  230.31,  227.44,  223.62,  223.94,  211.69,  208.81,  226.69,  238.87,  195.36,  195.37,  178.32,  171.04,  325.91,  303.59,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:04,  -04:00,       ,             ,             ,   576.4, 30.24,        ,  28.0,   0.00,       ,  -23.91,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.8,  46.00,  46.00,     0.00,  179.39,   -1.44,  29.86,    0.0,    0.00,  230.30,  227.42,  223.62,  223.91,  211.67,  208.80,  226.57,  238.87,  195.26,  195.29,  178.25,  170.99,  326.42,  302.84,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:05,  -04:00,       ,             ,             ,   576.4, 30.24,        ,  28.0,   0.00,       ,  -16.36,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.7,  46.00,  46.00,     0.00,  179.39,   -1.43,  29.87,    0.0,    0.00,  230.27,  227.41,  223.63,  223.91,  211.66,  208.78,  226.42,  238.87,  195.27,  195.26,  178.25,  170.99,  325.78,  301.94,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:06,  -04:00,       ,             ,             ,   576.4, 30.24,        ,  28.0,   0.00,       ,  -16.01,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.7,  46.00,  46.00,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:07,  -04:00,       ,             ,             ,   576.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  46.00,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:08,  -04:00,       ,             ,             ,   576.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,  46.00,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:09,  -04:00,       ,             ,             ,   575.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  46.00,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:10,  -04:00,       ,             ,             ,   575.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.8,       ,       ,     0.00,  179.39,   -1.42,  29.88,    0.0,    0.00,  230.16,  227.32,  223.52,  223.80,  211.57,  208.71,  226.14,  238.62,  194.96,  194.93,  178.03,  170.77,  324.06,  301.94,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:11,  -04:00,       ,             ,             ,   575.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.8,  46.00,  46.00,     0.00,  179.40,   -1.43,  29.87,    0.0,    0.00,  230.13,  227.29,  223.50,  223.79,  211.55,  208.69,  226.03,  238.26,  194.84,  194.79,  177.93,  170.67,  323.45,  302.05,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:12,  -04:00,       ,             ,             ,   575.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.9,  46.00,  46.00,     0.00,  179.39,   -1.43,  29.87,    0.0,    0.00,  230.10,  227.26,  223.47,  223.76,  211.54,  208.67,  226.09,  238.02,  194.86,  194.78,  177.91,  170.66,  324.29,  301.87,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:13,  -04:00,       ,             ,             ,   575.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.8,  46.00,  46.00,     0.00,  179.40,   -1.42,  29.88,    0.0,    0.00,  230.09,  227.25,  223.47,  223.73,  211.52,  208.66,  226.22,  237.85,  194.82,  194.68,  177.88,  170.57,  323.70,  301.57,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:14,  -04:00,       ,             ,             ,   574.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.8,  46.00,  46.00,     0.00,  179.40,   -1.42,  29.87,    0.0,    0.00,  230.06,  227.20,  223.43,  223.71,  211.51,  208.63,  226.06,  237.63,  194.78,  194.62,  177.82,  170.56,  323.38,  301.18,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:15,  -04:00,       ,             ,             ,   574.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.9,  46.00,  46.00,     0.00,  179.38,   -1.42,  29.87,    0.0,    0.00,  230.02,  227.20,  223.43,  223.68,  211.48,  208.60,  225.98,  237.55,  194.69,  194.54,  177.74,  170.49,  322.83,  300.73,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:16,  -04:00,       ,             ,             ,   574.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -5.0,  46.00,  46.00,     0.00,  179.40,   -1.42,  29.87,    0.0,    0.00,  230.01,  227.17,  223.39,  223.65,  211.45,  208.60,  225.96,  237.67,  194.65,  194.50,  177.76,  170.48,  323.68,  300.48,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:17,  -04:00,       ,             ,             ,   574.4, 30.24,        ,  28.0,   0.00,       ,  -12.38,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.9,  46.00,  46.00,     0.00,  179.40,   -1.41,  29.88,    0.0,    0.00,  230.00,  227.14,  223.35,  223.64,  211.45,  208.57,  225.83,  237.74,  194.63,  194.40,  177.67,  170.38,  322.94,  300.27,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:18,  -04:00,       ,             ,             ,   574.4, 30.24,        ,  28.0,   0.00,       ,  -13.27,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -4.9,  46.00,  46.00,     0.00,  179.39,   -1.42,  29.88,    0.0,    0.00,  229.97,  227.11,  223.35,  223.62,  211.40,  208.57,  225.69,  237.81,  194.54,  194.33,  177.61,  170.34,  322.51,  300.32,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:19,  -04:00,       ,             ,             ,   574.4, 30.24,        ,  28.0,   0.00,       ,  -15.90,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -5.0,  46.00,  46.00,     0.00,  179.40,   -1.43,  29.87,    0.0,    0.00,  229.94,  227.08,  223.30,  223.59,  211.39,  208.54,  225.57,  237.93,  194.52,  194.32,  177.62,  170.36,  322.00,  300.31,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:20,  -04:00,       ,             ,             ,   574.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -5.0,  46.00,  46.00,     0.00,  179.38,   -1.42,  29.87,    0.0,    0.00,  229.89,  227.05,  223.29,  223.56,  211.36,  208.51,  225.41,  237.97,  194.44,  194.23,  177.52,  170.29,  322.66,  300.18,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:21,  -04:00,       ,             ,             ,   574.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -5.0,  46.00,  46.00,     0.00,  179.38,   -1.42,  29.88,    0.0,    0.00,  229.89,  227.02,  223.26,  223.55,  211.36,  208.48,  225.54,  238.03,  194.42,  194.18,  177.50,  170.24,  322.10,  300.21,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:22,  -04:00,       ,             ,             ,   574.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -5.0,  46.00,  46.00,     0.00,  179.39,   -1.42,  29.87,    0.0,    0.00,  229.86,  227.00,  223.24,  223.50,  211.33,  208.45,  225.87,  238.09,  194.38,  194.13,  177.46,  170.25,  321.67,  299.56,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:23,  -04:00,       ,             ,             ,   574.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -5.0,  46.00,  46.00,     0.00,  179.39,   -1.42,  29.87,    0.0,    0.00,  229.83,  226.99,  223.23,  223.48,  211.31,  208.45,  225.72,  238.14,  194.28,  194.03,  177.41,  170.17,  321.12,  299.35,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:25,  -04:00,       ,             ,             ,   574.4, 30.24,        ,  28.0,   0.00,       ,  -13.69,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -5.1,  46.00,  46.00,     0.00,  179.40,   -1.42,  29.87,    0.0,    0.00,  229.80,  226.96,  223.20,  223.45,  211.28,  208.42,  225.55,  238.20,  194.25,  193.95,  177.37,  170.14,  321.93,  299.24,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:26,  -04:00,       ,             ,             ,   574.4, 30.24,        ,  28.0,   0.00,       ,  -15.77,       ,       ,       ,       ,      ,      ,  25.2,  24.5,  -5.0,  46.00,  46.00,     0.00,  179.39,   -1.42,  29.87,    0.0,    0.00,  229.77,  226.91,  223.17,  223.44,  211.25,  208.40,  225.58,  238.19,  194.20,  193.88,  177.31,  170.05,  321.25,  299.29,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:27,  -04:00,       ,             ,             ,   574.4, 30.24,        ,  28.0,   0.00,       ,  -15.99,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -5.0,  46.00,  46.00,     0.00,  179.38,   -1.42,  29.87,    0.0,    0.00,  229.76,  226.91,  223.14,  223.41,  211.25,  208.39,  225.47,  238.25,  194.11,  193.84,  177.27,  170.02,  320.73,  298.89,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:28,  -04:00,       ,             ,             ,   573.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -5.0,  46.00,  46.00,     0.00,  179.37,   -1.42,  29.87,    0.0,    0.00,  229.74,  226.88,  223.14,  223.38,  211.22,  208.36,  225.34,  238.21,  194.06,  193.71,  177.20,  169.94,  320.06,  298.53,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:29,  -04:00,       ,             ,             ,   573.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.1,  24.5,  -5.1,  46.00,  46.00,     0.00,  179.38,   -1.42,  29.86,    0.0,    0.00,  229.71,  226.84,  223.08,  223.35,  211.19,  208.33,  225.24,  238.30,  194.07,  193.69,  177.18,  169.94,  320.73,  298.38,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:30,  -04:00,       ,             ,             ,   573.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.2,  24.6,  -5.0,  46.00,  46.00,     0.00,  179.37,   -1.41,  29.88,    0.0,    0.00,  229.68,  226.82,  223.05,  223.33,  211.17,  208.33,  225.17,  238.33,  194.08,  193.63,  177.16,  169.91,  320.03,  298.40,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:31,  -04:00,       ,             ,             ,   573.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.2,  24.6,  -5.0,  46.00,  46.00,     0.00,  179.39,   -1.42,  29.88,    0.0,    0.00,  229.63,  226.81,  223.05,  223.30,  211.14,  208.30,  225.17,  238.26,  193.96,  193.55,  177.09,  169.84,  319.42,  298.26,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:32,  -04:00,       ,             ,             ,   573.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  25.2,  24.5,  -5.0,  46.00,  46.00,     0.00,  179.37,   -1.42,  29.87,    0.0,    0.00,  229.62,  226.78,  223.02,  223.29,  211.13,  208.27,  225.10,  238.23,  193.88,  193.49,  177.05,  169.81,  318.87,  297.76,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:33,  -04:00,       ,             ,             ,   573.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,   1.16,  -0.47,   0.01,  -0.00,  79.8,      ,  25.2,  24.5,  -5.1,  46.00,  46.00,     0.00,  179.38,   -1.43,  29.86,    0.0,    0.00,  229.61,  226.75,  223.00,  223.26,  211.10,  208.25,  224.84,  238.10,  193.86,  193.36,  176.98,  169.73,  319.74,  297.58,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:34,  -04:00,       ,             ,             ,   573.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,   1.19,  -0.47,   0.01,  -0.00,  79.8,      ,  25.2,  24.6,  -5.0,  46.00,  46.00,     0.00,  179.37,   -1.42,  29.88,    0.0,    0.00,  229.56,  226.73,  222.97,  223.23,  211.07,  208.24,  224.66,  238.07,  193.80,  193.29,  176.91,  169.66,  319.13,  297.23,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2018-10-09, 16:33:35,  -04:00,       ,             ,             ,   573.4, 30.24,        ,  28.0,   0.00,       ,  -16.00,   1.20,  -0.47,   0.01,  -0.00,  79.8,      ,  25.2,  24.6,  -5.0,  46.00,  46.00,     0.00,  179.36,   -1.41,  29.88,    0.0,    0.00,  229.55,  226.69,  222.93,  223.20,  211.07,  208.21,  224.48,  238.11,  193.69,  193.23,  176.88,  169.63,  318.72,  297.34,        ,   0,  GPS,   81.0, 108.40, 112.10, 124.300, 121.800,       ,       ,       ,      ,       ,       ,  -10.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
